Inf;Jogador;Nação;Clube;Posição;Expira;Data de Início do Contrato;Bravura;Agressividade;(Tendência) para Saídas da Baliza;Lançamentos;Idade;Posição;Pé Preferido;Nação de Nascimento;Altura;Região Nascimento;Data Nasc.;Melhor Pos;Susceptibilidade a Lesões;Emprestado Por;Último Clube;2ª Nac;Selecção Nacional;Unique ID;Técnica;Desarme;Marcação de Penáltis;Passe;Marcação;Lançamentos Longos;Remates de Longe;Cabeceamento;Livres;Primeiro Toque;Finalização;Finta;Cruzamentos;Cantos;Força;Resistência;Velocidade;Aptidão Física;Impulsão;Equilíbrio;Agilidade;Aceleração;Índice de Trabalho;Visão de Jogo;Posicionamento;Trabalho de Equipa;Sem Bola;Liderança;Imprevisibilidade;Determinação;Decisões;Concentração;Compostura;Antecipação;Saídas a Punhos;Reflexos;Pontapé;Um Para Um;Jogo de Mãos;Comunicação;Alcance Aéreo
;Rhichey;BRA;Athletico-PR;MO (C);31/12/2028;1/6/2024;-;-;-;-;17;MO (C);Pé Preferido Desconhecido;Brasil;1,80 m;Bahia;24/4/2008;MO (C);Abaixo da Média;;-;;;2000490691;10-18;-;-;8-14;-;-;7-15;-;-;6-14;6-16;-;-;-;-;-;-;-;-;-;-;-;-;1-7;-;-;-;-;6-12;-;-;-;4-12;-;-;-;-;-;-;-;-
;Rhuan Gabriel;BRA;Cruzeiro;M/MO (C);31/12/2028;1/10/2025;-;-;-;-;19;M/MO (C);Pé Preferido Desconhecido;Brasil;1,75 m;;6/2/2006;M (C);Acima da Média;;Atlético Goianiense;;;2000243132;9-15;-;-;5-12;-;-;10-16;-;-;5-14;6-14;-;-;-;-;-;-;-;-;-;-;-;-;8-14;-;-;-;-;10-19;-;-;-;3-12;-;-;-;-;-;-;-;-
;Rhyan;BRA;Botafogo;GR;31/3/2028;7/4/2025;-;-;8-16;6-12;19;GR;Pé Preferido Desconhecido;Brasil;1,86 m;;3/1/2006;GR;Média;;Cuiabá;;;2000278896;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10-16;13-20;2-9;-;8-17;-;7-15
;Ricardo;BRA;Cruzeiro;GR;31/12/2027;1/10/2025;-;-;2-10;1-8;17;GR;Pé Preferido Desconhecido;Brasil;1,88 m;;7/1/2008;GR;Média;;-;;;2000519068;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;10-18;10-20;4-14;-;10-16;-;1-9
;Riccieli;BRA;Vitória;D (C);30/6/2027;28/12/2022;14-20;13-17;1-2;1-3;27;D (C);Pé Direito;Brasil;1,84 m;São Paulo;17/9/1998;D (C);Baixo;Famalicão;Mirassol;;;19362992;11-15;9-13;5-11;9-13;13-17;8-12;6-10;10-14;4-10;8-12;5-11;3-9;3-7;2-6;12-16;11-15;9-13;12-16;13-17;10-16;8-14;10-14;14-18;7-11;10-16;10-14;4-10;12-16;6-10;13-17;11-15;11-15;7-11;10-16;1-5;1-5;1-4;1-3;1-5;1-4;1-3
;Richard;BRA;SC Internacional;MD;31/12/2026;17/7/2025;9-15;10-14;1-2;1-4;31;MD;Pé Direito;Brasil;1,91 m;São Paulo;18/2/1994;MD;Acima da Média;;Alanyaspor;;;19337991;12-16;10-14;4-10;12-16;12-16;6-10;9-13;6-10;6-12;11-15;7-13;6-12;8-12;5-9;13-17;13-17;5-9;11-15;14-18;8-14;6-12;7-11;15-19;9-13;12-18;9-13;8-14;9-13;8-12;5-9;12-16;12-16;10-14;7-13;1-5;1-5;1-5;1-5;2-6;1-5;1-2
;Richard Wendel;BRA;Fluminense;D/DA (E);31/5/2028;7/7/2025;-;-;-;-;16;D/DA (E);Pé Preferido Desconhecido;Brasil;1,70 m;;25/3/2009;D (E);Média;;-;;;2000484280;-;-;-;3-13;-;-;-;-;-;8-14;1-9;10-20;2-12;-;-;-;12-20;-;-;-;11-20;5-15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Rickelme;BRA;São Paulo;D/DA (E);31/12/2028;11/12/2024;-;-;-;-;19;D/DA (E);Pé Preferido Desconhecido;Brasil;1,75 m;;17/5/2006;D (E);Alta;;Mauá;;;2000218103;-;5-11;-;-;7-16;-;-;-;-;4-13;-;-;3-10;-;1-9;-;9-15;-;-;-;-;5-12;-;-;8-16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Tomás Rincón;VEN;Santos;MD, M (C);31/12/2026;17/1/2024;16-20;17-20;1-3;1-2;37;MD, M (C);Pé Direito;Venezuela;1,77 m;;13/1/1988;MD, M (C);Abaixo da Média;;UC Sampdoria;;A;86000589;10-16;11-17;4-8;9-13;15-19;1-4;7-13;9-15;2-6;7-11;7-11;7-11;4-8;4-8;10-14;10-16;6-12;14-18;10-14;13-17;6-10;7-11;14-20;5-11;14-18;11-17;10-14;11-15;5-9;15-19;11-17;13-17;7-11;13-17;1-7;1-5;1-5;3-7;1-5;1-2;1-4
;Riquelme;BRA;Atlético Mineiro;M/MO (E);31/12/2028;12/2/2025;-;-;-;-;16;M/MO (E);Pé Preferido Desconhecido;Brasil;1,73 m;Minas Gerais;17/1/2009;MO (E);Abaixo da Média;;-;;;2000505469;-;-;-;7-13;-;-;-;-;-;8-16;6-16;1-11;9-15;-;-;-;4-12;-;-;-;1-10;10-16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Riquelme;BRA;Vitória;D/DA (E);31/12/2026;29/12/2025;-;-;-;-;20;D/DA (E);Pé Preferido Desconhecido;Brasil;1,74 m;Bahia;25/4/2005;D (E);Abaixo da Média;;-;;;2000308471;-;-;-;9-18;-;-;-;-;-;9-15;8-15;6-13;9-18;-;-;-;9-17;-;-;-;6-13;11-20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Riquelme;BRA;Grêmio;MO (EC);31/12/2027;16/9/2024;-;-;-;-;19;MO (EC);Pé Preferido Desconhecido;Brasil;1,81 m;São Paulo;13/8/2006;MO (C);Acima da Média;;-;;;2000277653;-;-;-;9-18;-;-;-;-;-;9-15;9-16;4-11;7-16;-;-;-;7-15;-;-;-;4-11;9-18;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Riquelme Avellar;BRA;Vasco da Gama;D/DA (E);31/7/2028;1/10/2025;8;10;1;4;19;D/DA (E);Somente Pé Esquerdo;Brasil;1,73 m;Rio de Janeiro;8/3/2006;D (E);Acima da Média;;-;;;2000264136;10;7;7;10;7;9;5;7;10;10;5;10;11;9;7;10;12;13;7;9;14;12;10;11;10;10;7;12;8;12;12;10;8;12;1;2;1;3;1;3;1
;Riquelme Felipe;BRA;Botafogo;D (C);31/12/2029;29/12/2025;-;-;-;-;18;D (C);Pé Preferido Desconhecido;Brasil;1,91 m;Alagoas;3/1/2007;D (C);Média;;Sport Recife;;;2000518242;-;11-20;-;-;9-17;-;-;11-20;-;7-14;-;-;-;-;9-16;-;-;-;8-16;-;-;-;-;-;6-15;-;-;-;-;12-19;-;-;-;-;-;-;-;-;-;-;-
;Riquelme Felipe;BRA;Fluminense;MO (DC);31/8/2030;5/9/2025;-;-;-;-;18;MO (DC);Pé Preferido Desconhecido;Brasil;1,73 m;;13/3/2007;MO (C);Alta;;-;;;2000273266;-;-;-;3-10;-;-;-;-;-;4-13;5-13;13-20;2-9;-;-;-;8-14;-;-;-;14-20;6-13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Riquelme Fillipi;BRA;Palmeiras;MO (DE);31/12/2029;2/8/2025;-;-;-;-;19;MO (DE);Pé Preferido Desconhecido;Brasil;1,75 m;São Paulo;15/9/2006;MO (E);Abaixo da Média;;-;;;2000263996;-;-;-;7-15;-;-;-;-;-;4-11;9-15;7-13;5-13;-;-;-;5-14;-;-;-;8-14;8-16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Riquelmy;BRA;Fluminense;MD, M (C);30/6/2027;1/3/2025;-;-;-;-;19;MD, M (C);Pé Preferido Desconhecido;Brasil;1,81 m;;27/11/2006;M (C);Abaixo da Média;;-;;;2000273263;-;6-14;-;9-18;-;-;6-12;-;-;8-14;-;-;-;-;9-15;-;-;-;-;-;-;-;6-12;6-14;-;-;-;-;3-12;-;-;-;-;-;-;-;-;-;-;-;-
;Robert;BRA;Atlético Mineiro;GR;31/12/2029;17/3/2025;-;-;4-13;4-11;20;GR;Pé Preferido Desconhecido;Brasil;1,87 m;São Paulo;3/2/2005;GR;Alta;;-;;;2000320687;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;9-18;13-19;9-15;-;6-14;-;5-14
;Robert Renan;BRA;Vasco da Gama;D (C);30/6/2027;10/1/2023;14;12;2;3;22;D (C);Pé Esquerdo;Brasil;1,85 m;Distrito Federal;11/10/2003;D (C);Média;Zenit;Corinthians;;;2000136297;13;13;11;13;13;10;9;12;10;13;9;13;11;8;12;13;12;12;12;13;13;13;14;13;12;13;11;8;10;13;12;11;13;13;3;3;3;2;1;2;3
;Robert Santos;BRA;Chapecoense;M (C), MO (DEC);31/12/2027;1/1/2025;4-8;11-17;2-6;1-5;22;M (C), MO (DEC);Somente Pé Esquerdo;Brasil;1,80 m;Bahia;20/7/2003;MO (C);Acima da Média;Atlético Mineiro;Athletic (MG);;;2000139477;10-14;8-12;2-8;8-14;3-7;1-5;9-13;6-10;1-5;12-16;6-10;9-15;2-8;1-5;4-8;8-12;11-15;8-14;7-11;6-10;10-16;7-13;10-14;11-15;3-7;7-11;8-14;2-8;11-15;6-10;7-11;5-9;5-9;9-15;1-3;1-2;1-5;1-3;1-4;1-4;1-5
;Robinho Junior;BRA;Santos;MO (E);31/12/2031;28/5/2024;11-16;6-13;1-6;1-6;18;MO (E);Pé Esquerdo;Brasil;1,70 m;São Paulo;17/12/2007;MO (E);Alta;;-;;;2000417769;9-14;7-13;6-11;9-16;3-10;6-11;5-10;7-13;8-13;10-15;10-15;10-15;7-14;3-10;6-11;7-12;10-16;10-17;1-7;10-15;11-16;11-18;9-14;8-14;8-13;8-14;7-12;6-13;10-17;11-16;8-13;6-13;11-16;7-12;1-5;3-8;1-3;1-5;1-7;1-4;1-4
Prt;Sergio Rochet;URU;SC Internacional;GR;31/12/2026;13/7/2023;11-17;11-15;10-14;11-15;32;GR;Somente Pé Direito;Uruguai;1,91 m;Colonia;23/3/1993;GR;Alta;;Nacional;França;A;78063165;10-14;1-3;1-5;10-14;1-4;1-4;2-6;1-2;4-10;7-11;1-6;1-5;1-5;1-5;11-15;12-16;9-13;10-14;13-17;11-17;9-15;10-14;13-17;7-11;11-17;9-13;1-4;12-16;1-4;11-15;12-16;11-15;10-14;8-14;14-18;14-20;7-13;11-15;12-16;10-14;9-13
;Rodrigo Bringel;BRA;Fluminense;D (C);31/1/2028;2/9/2025;-;-;-;-;18;D (C);Pé Preferido Desconhecido;Brasil;1,92 m;;9/3/2007;D (C);Acima da Média;;Goiás;;;2000379897;-;12-19;-;-;5-11;-;-;13-20;-;2-8;-;-;-;-;4-10;-;-;-;11-17;-;-;-;-;-;6-13;-;-;-;-;12-18;-;-;-;-;-;-;-;-;-;-;-
;Rodrigo Cezar;BRA;Santos;MO (C), PL (C);31/1/2027;30/12/2024;-;-;-;-;19;MO (C), PL (C);Pé Preferido Desconhecido;Brasil;1,78 m;;15/7/2006;MO (C);Média;;-;;;2000218474;8-16;-;-;4-13;-;-;6-14;-;-;7-13;5-12;-;-;-;-;-;-;-;-;-;-;-;-;11-18;-;-;-;-;9-15;-;-;-;6-12;-;-;-;-;-;-;-;-
;Rodrigo Dias;BRA;Vitória;MO (DE);31/12/2026;1/1/2024;-;-;-;-;20;MO (DE);Pé Preferido Desconhecido;Brasil;1,82 m;Bahia;1/8/2005;MO (D);Acima da Média;;-;;;2000440226;-;-;-;5-12;-;-;-;-;-;4-13;3-11;11-18;4-11;-;-;-;8-14;-;-;-;10-17;5-12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Rodrigo Endrio;BRA;Chapecoense;PL (C);31/12/2027;30/12/2024;-;-;-;-;18;PL (C);Pé Preferido Desconhecido;Brasil;1,87 m;Paraná;3/7/2007;PL (C);Alta;;Athletico-PR;;;2000321052;-;-;-;2-9;-;-;-;11-17;-;7-16;11-19;-;-;-;1-7;-;6-12;-;12-20;-;-;2-9;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Rodrigo Falcão;BRA;Santos;GR;31/1/2029;29/12/2025;-;-;9-17;11-17;20;GR;Pé Preferido Desconhecido;Brasil;1,91 m;;23/3/2005;GR;Acima da Média;;-;;;2000206937;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1-7;11-18;1-8;-;8-17;-;7-15
;Rodrigo Gelado;BRA;Coritiba;D/DA (E);31/12/2027;1/1/2024;9-13;7-11;2-6;1-7;22;D/DA (E);Somente Pé Esquerdo;Brasil;1,82 m;Bahia;28/9/2003;D (E);Alta;;Vila Nova;;;2000198534;8-14;9-13;4-8;11-15;7-11;7-13;8-14;6-10;5-9;10-16;7-11;9-13;11-15;5-9;7-13;11-17;10-14;15-19;7-11;9-13;11-15;12-16;9-15;8-12;10-14;11-15;13-17;5-9;7-11;11-17;7-13;8-12;10-16;11-15;1-5;1-5;1-4;1-2;2-6;1-5;1-5
;Rodrigo Gomes;BRA;Fluminense;D (C);31/12/2028;1/7/2025;-;-;-;-;19;D (C);Pé Preferido Desconhecido;Brasil;1,83 m;Minas Gerais;7/2/2006;D (C);Alta;;-;;;2002042569;-;7-16;-;-;13-20;-;-;9-18;-;1-7;-;-;-;-;1-8;-;-;-;10-17;-;-;-;-;-;10-16;-;-;-;-;4-11;-;-;-;-;-;-;-;-;-;-;-
;Rodrigo Gueti;BRA;Palmeiras;D (D), MD, M (C);31/1/2027;29/12/2025;-;-;-;-;19;D (D), MD, M (C);Pé Preferido Desconhecido;Brasil;1,84 m;Bahia;25/4/2006;MD;Média;Retrô;Camaçariense;;;2000357475;-;10-16;-;5-12;-;-;6-12;-;-;7-16;-;-;-;-;1-9;-;-;-;-;-;-;-;11-17;8-14;-;-;-;-;3-12;-;-;-;-;-;-;-;-;-;-;-;-
;Rodrigo Moledo;BRA;Coritiba;D (C);31/12/2026;27/12/2025;17-20;16-20;1-5;1-3;38;D (C);Pé Direito;Brasil;1,88 m;Rio de Janeiro;27/10/1987;D (C);Alta;;Chapecoense;;;19082804;7-11;12-16;4-8;9-15;10-16;6-10;5-9;12-16;5-9;6-10;7-11;3-7;5-11;1-5;12-16;5-9;5-9;9-15;9-15;13-17;3-7;5-11;11-15;5-9;13-17;10-14;5-9;11-17;3-9;14-18;10-14;8-14;8-12;8-12;1-4;1-5;1;1-3;1-6;1-3;1-3
;Rodrigo Nestor;BRA;EC Bahia;M/MO (EC);31/12/2030;12/11/2025;7-11;9-13;1-5;1-6;25;M/MO (EC);Pé Esquerdo;Brasil;1,75 m;São Paulo;9/8/2000;M (C);Abaixo da Média;;São Paulo;;;19306946;9-15;8-12;8-12;14-18;8-12;9-15;10-16;8-12;11-15;11-17;9-13;11-15;12-16;9-13;8-14;9-15;11-15;12-16;6-10;9-13;11-15;13-17;7-13;13-17;10-14;11-15;11-15;8-12;9-13;9-15;7-13;7-11;11-17;8-12;1-4;1-4;1-3;1-2;3-7;1-5;1-5
Les;Rodrigo Rodrigues;BRA;Coritiba;PL (C);31/12/2027;20/8/2025;10-16;10-14;1-3;1-3;29;PL (C);Pé Direito;Brasil;1,91 m;Ceará;18/6/1996;PL (C);Acima da Média;;Espérance Tunis;;;19220269;11-15;2-6;9-15;10-14;2-6;3-7;11-15;9-13;5-11;10-14;11-17;6-12;6-10;3-7;12-16;12-16;8-12;10-14;12-16;12-18;7-13;9-13;12-16;7-11;5-11;9-13;9-15;5-9;5-9;11-15;11-15;10-14;10-14;9-15;3-7;1-6;1-5;1-3;1-3;1-3;1-3
;Rodrigues;BRA;Mirassol;D (DC);31/12/2026;29/12/2025;12-16;14-18;1-3;1-7;28;D (DC);Pé Direito;Brasil;1,88 m;Rio Grande do Norte;10/10/1997;D (C);Baixo;;San Jose;;;19261651;5-11;12-16;6-10;12-16;9-13;9-15;2-8;12-16;5-9;6-12;6-10;6-10;8-12;3-7;13-19;9-15;11-15;13-17;10-14;11-15;10-14;13-17;9-15;6-10;11-15;12-16;7-11;12-16;2-6;11-17;7-13;6-10;8-14;11-15;1-3;2-6;1-4;1-2;3-7;1-5;1-4
;Alan Rodríguez;URU;SC Internacional;MD, M/MO (DC);31/12/2029;1/8/2025;11-17;12-16;1;1-5;25;MD, M/MO (DC);Pé Direito;Uruguai;1,70 m;Canelones;25/1/2000;M (C);Muito Alta;;Argentinos Jrs.;;;78088243;14-18;6-10;3-9;11-15;10-14;4-8;13-17;3-7;9-15;12-16;8-14;10-16;8-12;11-15;5-9;13-17;7-11;12-16;5-9;8-14;10-16;12-16;14-18;9-13;10-16;10-14;10-16;11-15;12-16;13-17;13-17;10-14;9-13;8-14;4-8;1-5;1-4;1-3;1-3;1-3;1-3
Les;Guzmán Rodríguez;URU;RB Bragantino;D (C);5/12/2027;9/1/2025;11-15;12-18;2-6;1-3;25;D (C);Pé Direito;Uruguai;1,85 m;Montevideo;8/2/2000;D (C);Acima da Média;;Peñarol;Itália;;78102041;9-13;11-15;1-7;6-12;12-16;14-18;7-11;15-19;5-9;9-13;1-3;8-14;10-16;8-12;12-16;11-15;11-15;9-15;11-15;10-14;8-14;8-14;11-15;9-13;9-13;14-18;7-13;10-16;8-12;13-17;9-13;11-15;9-13;11-17;1-5;1;1-5;1-5;1-4;1-4;2-6
;Santiago Rodríguez;URU;Botafogo;MO (C);31/12/2028;14/2/2025;5-9;9-13;1-4;1-3;25;MO (C);Pé Direito;Uruguai;1,72 m;Montevideo;8/1/2000;MO (C);Média;;NYCFC;E.U.A.;;78088631;13-19;3-9;8-12;12-16;6-10;3-7;8-14;4-10;12-16;10-14;11-15;12-16;12-16;14-18;2-6;9-15;9-15;10-14;7-11;9-13;12-16;12-16;9-15;10-16;10-14;8-14;10-14;10-14;15-19;6-10;12-18;8-12;6-10;10-14;1-5;1-5;1-5;2-6;1-5;1;1-4
;Rodriguinho;BRA;Corinthians;MO (C);31/7/2027;12/8/2024;-;-;-;-;18;MO (C);Pé Preferido Desconhecido;Brasil;1,80 m;;15/4/2007;MO (C);Acima da Média;;-;;;2000379967;12-19;-;-;11-17;-;-;4-11;-;-;9-17;8-17;-;-;-;-;-;-;-;-;-;-;-;-;1-5;-;-;-;-;8-14;-;-;-;1-9;-;-;-;-;-;-;-;-
;Rodriguinho;BRA;RB Bragantino;M/MO (C);31/12/2030;29/12/2025;7-11;11-17;3-7;1-4;21;M/MO (C);Somente Pé Direito;Brasil;1,85 m;Goiás;16/3/2004;MO (C);Alta;;São Paulo;;;2000141091;13-17;8-12;7-13;10-16;7-11;9-13;13-17;7-11;7-11;12-16;7-11;11-17;8-14;10-14;8-12;11-15;12-16;10-16;12-16;6-10;12-18;10-16;10-14;14-18;3-7;14-18;10-16;9-15;12-16;8-12;11-15;10-14;11-15;14-20;1-4;1-3;2-8;1-3;1-3;1-5;1-5
;Rodriguinho;BRA;SC Internacional;MO (D);31/12/2027;2/9/2024;-;-;-;-;19;MO (D);Pé Preferido Desconhecido;Brasil;1,69 m;Rio Grande do Sul;3/1/2006;MO (D);Acima da Média;;-;;;2000273996;-;-;-;3-10;-;-;-;-;-;4-13;5-13;12-19;2-9;-;-;-;8-14;-;-;-;14-20;4-11;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Roger;BRA;Grêmio;MO (DE);31/12/2028;29/12/2025;-;-;-;-;17;MO (DE);Pé Preferido Desconhecido;Brasil;1,71 m;Rio Grande do Sul;29/4/2008;MO (D);Acima da Média;;-;;;2000487363;-;-;-;3-13;-;-;-;-;-;8-14;2-10;11-20;2-12;-;-;-;13-20;-;-;-;12-20;5-15;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Roger Gabriel;BRA;EC Bahia;MO (DEC);31/12/2028;18/9/2025;-;-;-;-;18;MO (DEC);Pé Preferido Desconhecido;Brasil;1,73 m;Bahia;12/2/2007;MO (C);Acima da Média;;-;;;2000272491;9-17;-;-;5-14;-;-;6-14;-;-;8-14;3-10;-;-;-;-;-;-;-;-;-;-;-;-;12-19;-;-;-;-;11-17;-;-;-;7-13;-;-;-;-;-;-;-;-
;Johan Rojas;COL;Vasco da Gama;M/MO (C);30/6/2028;6/6/2024;13;8;1;2;23;M/MO (C);Pé Direito;Colômbia;1,72 m;Andina;20/9/2002;M/MO (C);Abaixo da Média;Monterrey;Inter Bogotá;;;2000159964;14;4;11;13;4;11;11;7;13;13;10;13;12;13;8;12;12;12;10;10;13;13;13;14;8;12;13;10;12;12;12;13;11;12;4;1;1;2;1;2;3
;Benjamín Rollheiser;ARG;Santos;M (C), MO (DEC);31/12/2028;12/2/2025;5-9;11-15;1-3;1-3;25;M (C), MO (DEC);Pé Esquerdo;Argentina;1,72 m;Buenos Aires;24/3/2000;MO (C);Acima da Média;;Benfica;;;14183203;14-20;3-9;9-13;13-17;7-11;6-10;12-18;3-9;10-14;10-14;11-15;13-17;11-15;13-17;4-8;9-15;9-15;10-14;7-11;12-16;12-16;12-16;8-14;10-16;6-10;9-15;11-15;10-14;16-20;8-12;12-18;13-17;11-15;10-14;1-6;1-5;1-4;2-6;1-4;1-2;1-5
;Iván Román;CHI;Atlético Mineiro;D (C);31/12/2029;28/2/2025;9-14;9-15;1-5;1;19;D (C);Pé Direito;Chile;1,83 m;Metropolitana de Santiago;12/7/2006;D (C);Acima da Média;;Palestino;;A;2000230119;8-15;8-15;6-11;10-16;12-17;7-12;5-12;7-14;3-8;6-11;4-9;3-8;3-9;6-11;7-12;11-18;7-14;12-18;13-18;9-14;8-13;8-14;11-18;6-13;12-17;8-15;4-9;10-16;7-12;10-15;11-18;14-19;9-14;10-15;1-6;1-6;1-6;2-7;1-6;1-3;1-5
Prt;Lucas Romero;ARG;Cruzeiro;MD, M (C);31/12/2027;8/1/2024;13-17;16-20;1-3;1-5;31;MD, M (C);Pé Direito;Argentina;1,67 m;Buenos Aires;18/4/1994;MD;Acima da Média;;León;Itália;;14047196;10-16;13-17;10-14;13-17;11-15;9-15;9-15;4-8;6-10;11-17;6-10;9-13;9-13;4-8;8-14;12-18;10-14;16-20;1-5;9-13;11-15;12-16;12-18;11-15;13-17;14-18;10-14;14-18;7-11;14-20;10-16;8-12;12-18;12-16;1-4;1-4;1-5;1-3;3-7;1-7;1-4
;Ronald;BRA;Vitória;MD, M (C);31/7/2028;3/1/2025;6-10;8-14;1-5;1-4;28;MD, M (C);Pé Direito;Brasil;1,71 m;Rio de Janeiro;18/6/1997;M (C);Abaixo da Média;;Fortaleza;;;19348494;12-16;11-15;7-13;9-15;7-11;5-9;10-14;8-12;7-11;11-15;5-9;11-17;8-14;9-13;8-12;11-15;13-17;9-15;5-9;10-14;11-17;9-15;10-14;13-17;5-9;12-16;11-17;6-12;11-15;10-14;10-14;10-14;10-14;11-17;1-3;1-2;1-7;1-5;1-5;1-5;3-7
;Ronaldo;BRA;SC Internacional;MD, M (C);31/12/2026;8/1/2025;9-13;8-12;1-4;1;29;MD, M (C);Pé Direito;Brasil;1,79 m;São Paulo;23/10/1996;MD;Acima da Média;;Juventude;;;19226751;10-16;9-15;7-11;10-14;12-16;8-12;7-13;5-11;7-11;8-12;8-12;8-12;8-12;10-14;6-10;11-17;8-14;11-15;9-13;8-12;10-14;10-14;12-18;7-13;10-14;9-15;9-13;8-12;13-17;10-14;10-16;10-14;7-11;10-14;1-6;1-4;1-4;3-7;1-4;1;1-4
;Ronaldo;BRA;EC Bahia;GR;31/12/2029;29/12/2025;12-16;11-15;11-17;8-12;29;GR;Pé Direito;Brasil;1,94 m;Bahia;22/8/1996;GR;Acima da Média;;Atlético Goianiense;;;19249507;10-16;1-5;1-3;10-14;2-6;1-2;1-6;4-10;6-10;6-10;1-5;1-4;1-5;3-7;11-15;10-16;6-12;12-16;16-20;8-12;11-15;8-12;11-17;4-10;11-15;9-15;2-6;11-15;9-13;10-14;8-14;9-13;8-12;9-13;13-19;13-17;12-16;12-16;10-14;8-12;10-16
;Rony;BRA;Santos;MO (DE), PL (C);31/12/2028;29/12/2025;12-18;10-14;1-2;1-3;30;MO (DE), PL (C);Somente Pé Direito;Brasil;1,66 m;Pará;11/5/1995;MO (E), PL (C);Abaixo da Média;;Atlético Mineiro;;;19249790;10-14;2-6;8-14;9-13;6-10;2-6;11-15;8-12;9-15;9-13;10-16;9-15;10-14;9-13;7-11;15-19;11-15;10-14;4-8;11-17;11-17;14-18;15-19;7-11;3-9;6-10;9-15;8-12;13-17;15-19;8-12;8-12;9-13;6-12;1-5;1-7;1-5;1-3;1-5;1-3;1-2
;Agustín Rossi;ARG;Flamengo;GR;31/12/2027;3/7/2023;12-16;4-8;8-12;10-16;30;GR;Pé Direito;Argentina;1,93 m;;21/8/1995;GR;Acima da Média;;Boca Juniors;Itália;;14101872;6-10;1-5;3-7;9-13;1-6;1-3;1-5;1-3;6-10;9-15;1-3;1-5;1-2;2-8;10-16;10-14;9-13;11-15;14-20;11-15;14-18;7-11;6-10;11-15;13-17;12-16;8-12;6-10;2-8;10-16;9-13;9-15;12-18;13-17;10-14;11-15;16-20;12-18;8-12;8-14;11-15
For;Ruan;BRA;Athletico-PR;MO (DE);31/12/2026;1/12/2025;-;-;-;-;17;MO (DE);Pé Preferido Desconhecido;Brasil;1,84 m;Rio de Janeiro;7/5/2008;MO (E);Média;;-;;;2000454281;-;-;-;2-12;-;-;-;-;-;6-12;3-11;8-18;1-10;-;-;-;11-19;-;-;-;9-19;3-13;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Ruan Índio;BRA;Cruzeiro;PL (C);31/12/2028;3/9/2024;-;-;-;-;19;PL (C);Pé Preferido Desconhecido;Brasil;1,89 m;;10/8/2006;PL (C);Acima da Média;;-;;;2000243133;-;-;-;9-16;-;-;-;10-16;-;8-17;8-14;-;-;-;8-17;-;9-15;-;4-11;-;-;12-19;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Ruan Pablo;BRA;EC Bahia;MO (DE);31/12/2030;29/12/2025;-;-;-;-;17;MO (DE);Pé Preferido Desconhecido;Brasil;1,83 m;;23/7/2008;MO (E);Alta;;-;;;2000382044;-;-;-;6-12;-;-;-;-;-;5-13;8-18;4-14;6-12;-;-;-;4-12;-;-;-;3-13;10-16;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
;Ruan Sales;BRA;Fluminense;M (C);31/5/2027;1/7/2024;-;-;-;-;17;M (C);Pé Preferido Desconhecido;Brasil;1,79 m;;9/6/2008;M (C);Alta;;-;;;2000463017;-;6-12;-;13-20;-;-;1-7;-;-;9-19;-;-;-;-;8-18;-;-;-;-;-;-;-;2-12;10-16;-;-;-;-;1-9;-;-;-;-;-;-;-;-;-;-;-;-
